329,173
338,374
313,365
288,355
259,343
233,328
206,310
177,288
151,264
359,360
334,350
309,340
282,325
253,307
226,287
197,266
171,243
378,336
354,326
328,314
301,298
273,279
245,264
218,242
190,221
397,312
372,299
347,285
319,271
293,254
264,236
236,217
209,195
417,290
393,276
364,260
339,246
311,227
283,210
255,189
228,168
437,267
412,253
383,235
359,222
331,203
302,182
273,159
246,140
455,241
429,225
402,209
376,191
346,172
320,154
290,131
265,112
471,213
444,195
418,177
392,162
363,143
336,123
308,104
279,82
458,246
454,254
455,266
458,279
363,292
391,306
402,328
409,342
332,268
316,300
303,328
301,350
302,367
308,359
176,198
190,228
199,263
210,292
222,313
231,333
113,246
123,265
136,285
149,302
167,323
181,338
6,183
13,197
25,212
45,225
66,233
86,241
115,249
137,256
117,87
109,64
110,52
120,48
137,62
154,75
173,97
199,121
219,148
243,176
215,15
230,35
243,59
252,83
195,54
220,43
248,27
277,13
304,15
330,11
357,29
373,53
383,75
395,119
502,116
518,125
506,136
494,154
469,169
296,241
298,250
300,260
303,270
305,280
308,289
310,299
312,309
244,260
247,267
251,274
255,281
258,288
262,295
265,301
269,308
